agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,total_force_x,total_force_y,total_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
1,0.0,0.19999999999999998,19.0,0.0,0.0,19.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
2,0.0,10.0,10.0,0.19999999999999998,10.0,10.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
3,0.0,18.8,0.0,0.0,19.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,0.2,0.4,19.0,0.0,0.2,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,0.2,10.0,10.0,0.4,10.0,10.0,0.2,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,0.2,18.6,0.0,0.0,18.8,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
1,0.4,0.6,19.0,0.0,0.4,19.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
2,0.4,10.0,10.0,0.6,10.0,10.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
3,0.4,18.400000000000002,0.0,0.0,18.6,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,0.6,0.7999999999999999,0.0,0.0,0.6,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
1,0.6,0.7999999999999999,19.0,0.0,0.6,19.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
2,0.6,10.0,10.0,0.7999999999999999,10.0,10.0,0.6,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
3,0.6,18.2,0.0,0.0,18.4,0.0,0.0,-0.1999999999999993,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993
